mes,totalretornados,retornadosus,retornadosmex,month
1/1/2016,4114,1463,2651,Jan-16
2/1/2016,3750,1158,2592,Feb-16
3/1/2016,5392,1102,4290,Mar-16
4/1/2016,6465,1778,4687,Apr-16
5/1/2016,6934,1732,5202,May-16
6/1/2016,6705,2222,4483,Jun-16
7/1/2016,5981,2046,3935,Jul-16
8/1/2016,7120,2407,4713,Aug-16
9/1/2016,7180,2267,4913,Sep-16
10/1/2016,6396,1882,4514,Oct-16
11/1/2016,5121,1812,3309,Nov-16
12/1/2016,4212,1728,2484,Dec-16
1/1/2017,4104,1754,2350,Jan-17
2/1/2017,4306,1815,2491,Feb-17
3/1/2017,4161,2202,1959,Mar-17
4/1/2017,2879,1366,1513,Apr-17
5/1/2017,3955,1555,2400,May-17
6/1/2017,4098,1714,2384,Jun-17
7/1/2017,3852,1389,2463,Jul-17
8/1/2017,4238,1542,2696,Aug-17
9/1/2017,3734,1759,1261,Sep-17
10/1/2017,1718,821,897,Oct-17
