mes,count,month
1/1/2014,688,Jan-2014
1/1/2015,1932,Jan-2015
1/1/2016,1096,Jan-2016
1/1/2017,1142,Jan-2017
1/2/2014,1460,Jan-2014
1/2/2015,1954,Jan-2015
1/2/2016,869,Jan-2016
1/2/2017,1188,Jan-2017
1/3/2014,2734,Jan-2014
1/3/2015,2124,Jan-2015
1/3/2016,921,Jan-2016
1/3/2017,1263,Jan-2017
1/4/2014,3171,Jan-2014
1/4/2015,2568,Jan-2015
1/4/2016,1137,Jan-2016
1/4/2017,984,Jan-2017
1/5/2014,2604,Jan-2014
1/5/2015,3078,Jan-2015
1/5/2016,1703,Jan-2016
1/5/2017,815,Jan-2017
1/6/2014,2769,Jan-2014
1/6/2015,3018,Jan-2015
1/6/2016,1682,Jan-2016
1/6/2017,918,Jan-2017
1/7/2014,2922,Jan-2014
1/7/2015,2146,Jan-2015
1/7/2016,1420,Jan-2016
1/7/2017,818,Jan-2017
1/8/2014,2092,Jan-2014
1/8/2015,3498,Jan-2015
1/8/2016,1838,Jan-2016
1/8/2017,1026,Jan-2017
1/9/2014,1627,Jan-2014
1/9/2015,2846,Jan-2015
1/9/2016,1777,Jan-2016
1/9/2017,1111,Jan-2017
1/10/2014,1586,Jan-2014
1/10/2015,3010,Jan-2015
1/10/2016,1629,Jan-2016
1/11/2014,1070,Jan-2014
1/11/2015,2780,Jan-2015
1/11/2016,1607,Jan-2016
1/12/2014,1350,Jan-2014
1/12/2015,2870,Jan-2015
1/12/2016,1804,Jan-2016
