"lat","lon","total","origen"
-89.184288,14.442543,5,"CA-10, Ocotepeque, Honduras"
-89.1836929,14.4345368,12,"CA-4, Ocotepeque, Honduras"
-89.18158,14.43675,1,"CA-4, Ocotepeque, Honduras"
-89.1467832,14.8497254,16,"Av Sesesmil, Copán Ruinas, Honduras"
-89.1128205,14.6826072,1,"Unnamed Road, Honduras"
-89.0949341,14.8677694,13,"CA-11, Santa Rita, Honduras"
-89.0946359,14.8331119,9,"N-124, Honduras"
-89.0836019,14.6613602,1,"Unnamed Road, La Encarnación, Honduras"
-89.0582424,15.0804665,1,"Unnamed Road, Honduras"
-89.0023961,14.4833291,9,"V-897, Honduras"
-88.9988098,15.0535473,9,"V-295, El Paraiso, Honduras"
-88.9940276,14.3014453,5,"Unnamed Road, Mercedes, Honduras"
-88.9545531,14.4336381,2,"N - 116, San Francisco del Valle, Honduras"
-88.9521595,14.4103464,27,"3ra. Calle N.E., San Marcos, Honduras"
-88.9389921,14.5602233,1,"CA-4, Lucerna, Honduras"
-88.9377949,14.4976052,4,"V-932, Honduras"
-88.9377949,14.8182209,3,"V-217, Honduras"
-88.8976674,14.6598294,5,"Unnamed Road, La Unión, Honduras"
-88.8718935,14.6531486,7,"CA-4, Cucuyagua, Honduras"
-88.8694951,14.5686384,12,"Unnamed Road, Corquín, Honduras"
-88.866497,14.9747853,3,"V-310, Honduras"
-88.8622992,14.6123039,3,"N-151, San Pedro Copán, Honduras"
-88.8383036,15.026492,24,"Unnamed Road, Florida, Honduras"
-88.8335028,14.8512757,2,"Unnamed Road, Dulce Nombre de Copan, Honduras"
-88.8178964,14.7068101,1,"V-363, Ojos de Agua, Honduras"
-88.816667,14.183333,5,"V-831, Honduras"
-88.8148945,14.8752584,1,"Unnamed Road, Dolores, Honduras"
-88.7968787,15.0445379,2,"V-290, Honduras"
-88.7908717,14.4801593,6,"Unnamed Road, Belén Gualcho, Honduras"
-88.7848638,14.216906,1,"N - 116, Tambla, Honduras"
-88.7848638,14.227077,3,"V-830, Tomalá, Honduras"
-88.7812586,14.8925962,1,"V-245, Honduras"
-88.7782541,14.783886,37,"CA-4, Santa Rosa de Copán 41101, Honduras"
-88.776564,14.7627762,1,"Avenida 5 SE, Santa Rosa de Copan 41101, Honduras"
-88.7722444,14.8670094,11,"V-234, San Antonio, Honduras"
-88.756014,15.0326327,14,"V-266, Honduras"
-88.7409802,14.9456594,3,"V-254, Trinidad de Copán, Honduras"
-88.738305,14.9485891,1,"Carr Trinidad Copan- Naranjito Sta Barbara, Trinidad de Copán, Honduras"
-88.7361682,14.1563715,2,"N - 116, Valladolid, Honduras"
-88.7349651,15.0697704,3,"V-270, La Ent., Honduras"
-88.7319573,15.0003674,5,"V-258, San Nicolás, Honduras"
-88.726387,14.4022,3,"V-702, Honduras"
-88.719322,14.9017473,3,"V-239, San José, Honduras"
-88.706683,14.706949,2,"V-756, Honduras"
-88.6952444,14.0603353,7,"N - 116, La Virtud, Honduras"
-88.6952444,14.7761423,2,"CA-11A, Honduras"
-88.6832004,14.9540955,8,"3ra calle, Naranjito, Honduras"
-88.6735627,14.4438748,1,"V-702, Honduras"
-88.6639228,15.3047612,3,"Unnamed Road, TRASCERROS, Honduras"
-88.6458421,15.0312765,6,"V-641, Protección, Honduras"
-88.6259444,14.7079451,3,"CA-11A, Las Flores, Honduras"
-88.6168969,14.029429,1,"N - 116, Mapulaca, Honduras"
-88.606407,14.41686,1,"V-707, Honduras"
-88.587932,14.7798898,8,"V-731, Honduras"
-88.5831026,14.5874782,13,"Av Eleuterio Galeano Trejo, Gracias, Honduras"
-88.566533,14.01561,2,"Unnamed Road, Honduras"
-88.556531,14.1887698,2,"Unnamed Road, Honduras"
-88.555847,14.09031,3,"N - 116, Honduras"
-88.549629,14.22246,6,"V-798, Honduras"
-88.543239,14.1262439,6,"V-814, Honduras"
-88.5420304,15.3025414,41,"Unnamed Road, Macuelizo, Honduras"
-88.533333,14.75,5,"Unnamed Road, Honduras"
-88.5033381,14.4967092,1,"CA-11A, Belen, Honduras"
-88.4900295,14.9295506,5,"V-462, Atima, Honduras"
-88.4736906,13.9611249,2,"N-122, Honduras"
-88.4736906,14.0641244,4,"V-809, Honduras"
-88.4670322,14.2376109,3,"N - 116, Erandique, Honduras"
-88.463211,14.61706,6,"Unnamed Road, Honduras"
-88.4415998,15.1249413,16,"Calle el Rodeo, San Luis, Honduras"
-88.4222126,14.40451,6,"CA-11A, San Juan, Honduras"
-88.4173644,14.724844,5,"N-78, Honduras"
-88.4137279,15.2987476,8,"Unnamed Road, San Marcos, Honduras"
-88.4100911,14.8122838,3,"Unnamed Road, La Unión, Honduras"
-88.4016041,15.1202795,31,"V-437, Honduras"
-88.3967536,15.3483742,22,"Unnamed Road, Quimistán, Honduras"
-88.3900833,13.919992,7,"N-118, Santa Lucía, Honduras"
-88.3803792,13.9967823,4,"Unnamed Road, Camasca, Honduras"
-88.3779528,13.9344096,8,"N-118, Magdalena, Honduras"
-88.3749197,14.1208169,14,"V-787, San Francisco, Honduras"
-88.3378981,14.0327627,9,"N-118, Honduras"
-88.3372909,14.773856,2,"N-78, El Níspero, Honduras"
-88.3263603,14.9415552,6,"Unnamed Road, San Nicolás, Honduras"
-88.3032755,14.8465342,2,"2 calle, Arada, Honduras"
-88.3020602,15.040667,4,"V-439, San José de Colinas, Honduras"
-88.2892972,15.2678504,8,"Unnamed Road, Petoa, Honduras"
-88.2759224,13.9612612,18,"Unnamed Road, Colomoncagua, Honduras"
-88.2564608,14.1163636,2,"Unnamed Road, Honduras"
-88.2461183,14.372734,11,"Unnamed Road, Honduras"
-88.2424674,14.2811192,3,"V-647, Yamaranguila, Honduras"
-88.2400333,15.6357007,1,"CA-13, Tegucigalpita, Honduras"
-88.2375991,14.9219177,9,"N-20, Santa Bárbara, Honduras"
-88.2333389,15.0291924,1,"N-20, Santa Bárbara, Honduras"
-88.2327303,15.1438734,8,"V-505, Trinidad, Honduras"
-88.2290783,15.0634836,4,"N-20, Ilama, Honduras"
-88.2010694,14.804922,2,"N-80, Ceguaca, Honduras"
-88.1949782,15.6602544,1,"Unnamed Road, Cuyamel, Honduras"
-88.1870583,15.1179402,4,"V-495, Chinda, Honduras"
-88.1706047,14.299475,10,"Unnamed Road, La Esperanza, Honduras"
-88.16329,14.3197687,7,"V-624, Intibucá, Honduras"
-88.1620708,14.8046161,2,"V-405, Concepción del Sur, Honduras"
-88.1402683,15.1747387,1,"Unnamed Road, Honduras"
-88.1132737,14.7575652,7,"V-689, San Pedro Zacapa, Honduras"
-88.111053,14.567,1,"Unnamed Road, Honduras"
-88.0876336,14.7121689,13,"Unnamed Road, Azacualpa, Honduras"
-88.0729754,14.8753647,8,"N-72, El Mochito, Honduras"
-88.038754,15.1145183,22,"V-861, San Antonio de Cortés, Honduras"
-88.0363086,14.1560521,14,"Calle Principal, Marcala, Honduras"
-88.0347086,15.4947517,1,"Bulevar del Sur, San Pedro Sula 21104, Honduras"
-88.0338631,14.7292113,2,"V-695, San José de Comayagua, Honduras"
-88.0265257,14.9712895,1,"N-54, Peña Blanca, Honduras"
-88.0265257,15.7790394,43,"CA-13, Omoa, Honduras"
-88.014488,14.04312,3,"V-534, Los Planes, Honduras"
-88.0045062,14.170311,1,"CA-7, Chinacla, Honduras"
-87.9922684,15.5149204,372,"Calle Hacia Aldea El Carmen, San Pedro Sula 21101, Honduras"
-87.988388,14.36707,5,"CA-11A, Honduras"
-87.9873724,14.6676107,6,"Unnamed Road, Taulabe, Honduras"
-87.9873724,15.0527169,2,"N-54, Río Lindo, Honduras"
-87.9824758,15.33918,36,"Bulevar Buena Vista, Villanueva, Honduras"
-87.9775787,14.4927954,10,"Unnamed Road, Jesús de Otoro, Honduras"
-87.9751299,15.2718287,4,"1ra. Avenida, Pimienta, Honduras"
-87.9690074,15.0160463,14,"Unnamed Road, San FRANCISCO DE YOJOA, Honduras"
-87.9653335,15.2307976,15,"Calle Principal, Potrerillos, Honduras"
-87.958061,14.24512,4,"V-478, Honduras"
-87.9469594,15.4720417,1,"Ent A Colegio Rivera Hernandez, San Pedro Sula 21101, Honduras"
-87.944509,15.8472289,1,"4 Avenida, Puerto Cortes, Honduras"
-87.9432837,15.596502,81,"Unnamed Road, Choloma, Honduras"
-87.940833,14.6060279,6,"Unnamed Road, Ojos de Agua, Honduras"
-87.934914,14.28824,1,"V-478, Honduras"
-87.9334803,13.9984833,1,"Unnamed Road, Honduras"
-87.9334803,15.4909515,7,"Unnamed Road, San Pedro Sula 21101, Honduras"
-87.9285777,15.825072,85,"Callejon, Puerto Cortés, Honduras"
-87.9187711,15.3327467,11,"Unnamed Road, San Manuel, Honduras"
-87.9040571,15.4321163,32,"Unnamed Road, La Lima, Honduras"
-87.9028307,14.3597816,8,"Unnamed Road, Santiago de Puringla, Honduras"
-87.8930184,14.0895286,1,"V-509, Honduras"
-87.8893383,14.9817467,35,"Unnamed Road, Santa Cruz de Yojoa, Honduras"
-87.881977,15.2007942,23,"Unnamed Road, Santa Rita, Honduras"
-87.85252,14.2503368,1,"V-493, San Pedro de Tutule, Honduras"
-87.85252,15.7803344,2,"CA-13, Baracoa, Honduras"
-87.8402405,14.5963866,59,"21 de Agosto, Siguatepeque, Honduras"
-87.8353278,14.1136911,2,"Unnamed Road, Honduras"
-87.829945,14.594583,2,"Boulevard Morazan, Siguatepeque, Honduras"
-87.8058402,15.3843415,210,"Unnamed Road, El Progreso, Honduras"
-87.7840192,15.4035159,1,"7 Calle Norte, El Progreso, Honduras"
-87.7769482,13.9108545,1,"V-585, Honduras"
-87.7689535,14.785129,5,"V-300, Meámbar, Honduras"
-87.7504989,13.6131409,9,"Carr CN-112, Goascorán, Honduras"
-87.7452537,15.0291321,5,"Represa El Cajon, Honduras"
