,mes,imaeoriginal,imaetc,usd,inflation
ene,1/1/2000,96.0,100.4,14.7200,
feb,2/1/2000,100.3,100.2,14.7900,
mar,3/1/2000,103.7,100.0,14.8300,
abr,4/1/2000,91.3,99.8,14.8700,
may,5/1/2000,98.5,99.6,14.9400,
jun,6/1/2000,98.3,99.6,14.9700,
jul,7/1/2000,93.1,99.8,15.0278,
ago,8/1/2000,101.5,100.1,15.0808,
sep,9/1/2000,99.3,100.6,15.1543,
oct,10/1/2000,104.8,101.1,15.2125,
nov,11/1/2000,103.4,101.7,15.2663,
dic,12/1/2000,109.8,102.4,15.3094,
ene,1/1/2001,100.1,103.3,15.3262,
feb,2/1/2001,102.9,104.0,15.3828,
mar,3/1/2001,108.9,104.5,15.4285,
abr,4/1/2001,99.1,104.6,15.4911,
may,5/1/2001,104.2,104.4,15.5448,
jun,6/1/2001,104.6,104.1,15.6150,
jul,7/1/2001,99.8,103.8,15.6727,
ago,8/1/2001,102.9,103.7,15.7080,
sep,9/1/2001,101.8,104.0,15.7650,
oct,10/1/2001,109.3,104.8,15.8579,
nov,11/1/2001,108.0,105.4,15.9739,
dic,12/1/2001,113.6,106.1,16.0496,
ene,1/1/2002,102.3,106.7,16.1321,
feb,2/1/2002,104.4,107.1,16.2500,
mar,3/1/2002,106.1,107.6,16.3248,
abr,4/1/2002,106.0,108.3,16.4041,
may,5/1/2002,111.1,109.2,16.4808,
jun,6/1/2002,108.9,110.3,16.5700,
jul,7/1/2002,109.5,111.5,16.6400,
ago,8/1/2002,111.6,112.5,16.7300,
sep,9/1/2002,111.5,113.2,16.8248,
oct,10/1/2002,117.9,113.6,16.9300,
nov,11/1/2002,117.5,113.7,17.0000,
dic,12/1/2002,122.7,113.9,17.0683,
ene,1/1/2003,109.1,114.1,17.1526,
feb,2/1/2003,112.0,114.5,17.2324,
mar,3/1/2003,118.4,115.1,17.3050,
abr,4/1/2003,108.3,115.4,17.3812,
may,5/1/2003,116.4,116.3,17.4302,
jun,6/1/2003,116.6,117.2,17.4905,
jul,7/1/2003,114.9,118.1,17.5633,
ago,8/1/2003,115.6,119.0,17.6498,
sep,9/1/2003,118.2,119.7,17.7266,
oct,10/1/2003,126.6,120.1,17.7973,
nov,11/1/2003,122.4,120.5,17.8758,
dic,12/1/2003,132.5,120.9,17.9302,
ene,1/1/2004,115.0,122.2,17.9780,
feb,2/1/2004,120.5,123.3,18.0585,
mar,3/1/2004,132.3,124.7,18.1407,
abr,4/1/2004,118.2,126.1,18.2184,
may,5/1/2004,128.6,127.1,18.3014,
jun,6/1/2004,130.5,127.6,18.3752,
jul,7/1/2004,123.0,127.6,18.4479,
ago,8/1/2004,124.6,127.7,18.5377,
sep,9/1/2004,123.9,128.1,18.6226,
oct,10/1/2004,130.8,129.0,18.6955,
nov,11/1/2004,135.9,130.3,18.7501,
dic,12/1/2004,146.7,131.6,18.8102,
ene,1/1/2005,128.9,133.2,18.8831,
feb,2/1/2005,129.1,133.8,18.9521,
mar,3/1/2005,133.8,134.0,18.9964,
abr,4/1/2005,133.8,133.9,19.0422,
may,5/1/2005,133.5,134.4,19.0118,
jun,6/1/2005,136.1,135.2,18.9938,
jul,7/1/2005,132.3,136.3,18.9992,
ago,8/1/2005,136.1,137.5,19.0023,
sep,9/1/2005,138.0,138.7,19.0123,
oct,10/1/2005,142.1,139.7,19.0263,
nov,11/1/2005,141.1,140.6,19.0274,
dic,12/1/2005,153.1,141.2,19.0269,
ene,1/1/2006,139.3,141.8,19.0274,
feb,2/1/2006,138.7,142.5,19.0273,
mar,3/1/2006,149.6,143.4,19.0274,
abr,4/1/2006,134.5,144.7,19.0274,
may,5/1/2006,148.9,146.0,19.0274,
jun,6/1/2006,150.7,147.5,19.0273,
jul,7/1/2006,143.4,149.2,19.0268,
ago,8/1/2006,148.9,151.1,19.0268,
sep,9/1/2006,149.0,153.0,19.0273,
oct,10/1/2006,159.0,154.8,19.0272,
nov,11/1/2006,163.1,156.3,19.0272,
dic,12/1/2006,166.5,157.5,19.0273,
ene,1/1/2007,150.1,158.4,19.0272,
feb,2/1/2007,156.4,157.7,19.0272,
mar,3/1/2007,164.4,158.4,19.0268,
abr,4/1/2007,150.2,159.2,19.0272,
may,5/1/2007,161.6,160.1,19.0272,
jun,6/1/2007,160.9,161.0,19.0270,
jul,7/1/2007,157.7,161.8,19.0271,
ago,8/1/2007,163.9,162.7,19.0271,
sep,9/1/2007,158.5,164.0,19.0271,
oct,10/1/2007,167.3,164.7,19.0271,
nov,11/1/2007,165.8,165.4,19.0272,
dic,12/1/2007,178.2,166.2,19.0271,
ene,1/1/2008,162.6,167.1,19.0272,8.87
feb,2/1/2008,169.7,168.2,19.0273,9.09
mar,3/1/2008,172.2,169.3,19.0293,9.25
abr,4/1/2008,170.5,170.4,19.0388,9.70
may,5/1/2008,170.1,169.8,19.0408,11.25
jun,6/1/2008,171.6,170.4,19.0307,12.16
jul,7/1/2008,161.6,170.7,19.0276,13.76
ago,8/1/2008,163.4,170.5,19.0274,13.99
sep,9/1/2008,166.8,169.9,19.0274,13.72
oct,10/1/2008,174.9,169.0,19.0274,13.06
nov,11/1/2008,168.1,167.9,19.0274,10.90
dic,12/1/2008,179.4,167.0,19.0273,10.83
ene,1/1/2009,157.3,166.3,19.0273,10.07
feb,2/1/2009,159.3,162.2,19.0273,9.75
mar,3/1/2009,169.9,164.4,19.0274,8.78
abr,4/1/2009,156.2,163.8,19.0274,8.07
may,5/1/2009,164.2,163.3,19.0274,6.15
jun,6/1/2009,163.0,163.0,19.0273,5.42
jul,7/1/2009,155.4,162.8,19.0273,3.98
ago,8/1/2009,159.9,161.8,19.0273,3.12
sep,9/1/2009,157.8,162.3,19.0272,3.06
oct,10/1/2009,166.3,163.4,19.0274,2.66
nov,11/1/2009,164.0,164.5,19.0272,3.10
dic,12/1/2009,176.2,165.6,19.0271,2.95
ene,1/1/2010,165.3,168.2,19.0273,3.58
feb,2/1/2010,166.9,169.3,19.0273,3.51
mar,3/1/2010,179.9,170.3,19.0273,3.99
abr,4/1/2010,165.5,170.8,19.0271,4.16
may,5/1/2010,173.9,170.9,19.0273,4.36
jun,6/1/2010,171.0,170.8,19.0273,4.24
jul,7/1/2010,162.5,170.6,19.0266,4.16
ago,8/1/2010,166.6,170.8,19.0262,4.53
sep,9/1/2010,175.2,173.2,19.0263,5.05
oct,10/1/2010,172.0,174.6,19.0270,5.79
nov,11/1/2010,175.5,176.6,19.0263,6.43
dic,12/1/2010,186.9,178.5,19.0265,6.48
ene,1/1/2011,177.0,179.8,19.0272,6.36
feb,2/1/2011,179.5,180.7,19.0273,6.36
mar,3/1/2011,190.7,181.1,19.0273,6.61
abr,4/1/2011,175.2,181.5,19.0273,7.26
may,5/1/2011,184.3,181.9,19.0273,7.71
jun,6/1/2011,182.3,182.6,19.0273,7.72
jul,7/1/2011,175.8,183.5,18.9999,7.76
ago,8/1/2011,185.7,184.3,18.9770,7.68
sep,9/1/2011,182.0,184.7,19.0578,6.83
oct,10/1/2011,185.8,184.9,19.1256,5.92
nov,11/1/2011,188.2,185.1,19.1152,5.43
dic,12/1/2011,198.7,185.6,19.1435,5.60
ene,1/1/2012,181.5,186.7,19.2143,5.36
feb,2/1/2012,189.3,188.0,19.2962,5.63
mar,3/1/2012,202.5,189.5,19.3744,5.68
abr,4/1/2012,183.8,190.9,19.4400,5.66
may,5/1/2012,193.4,192.2,19.5136,5.15
jun,6/1/2012,192.3,193.1,19.5925,4.71
jul,7/1/2012,185.9,193.8,19.6720,4.09
ago,8/1/2012,193.6,194.3,19.7550,4.32
sep,9/1/2012,188.8,194.7,19.8348,5.30
oct,10/1/2012,200.0,194.8,19.9087,5.67
nov,11/1/2012,199.5,194.7,19.9875,5.44
dic,12/1/2012,203.1,194.5,20.0661,5.39
ene,1/1/2013,189.7,194.4,20.1422,5.67
feb,2/1/2013,192.7,194.4,20.2191,5.78
mar,3/1/2013,196.4,194.7,20.2835,5.58
abr,4/1/2013,195.5,195.3,20.3569,4.66
may,5/1/2013,199.0,196.1,20.4423,4.82
jun,6/1/2013,194.4,196.9,20.5228,5.27
jul,7/1/2013,190.4,197.7,20.5992,5.63
ago,8/1/2013,196.7,198.3,20.6020,5.39
sep,9/1/2013,191.3,198.7,20.6686,4.95
oct,10/1/2013,201.8,199.1,20.6726,4.61
nov,11/1/2013,201.5,199.2,20.6942,4.72
dic,12/1/2013,213.6,199.4,20.7378,4.92
ene,1/1/2014,194.2,199.5,20.7709,6.00
feb,2/1/2014,197.6,201.0,20.8183,5.74
mar,3/1/2014,205.4,201.2,20.8754,5.79
abr,4/1/2014,197.3,201.5,20.9199,5.97
may,5/1/2014,207.0,201.8,20.9660,6.22
jun,6/1/2014,198.1,201.8,21.0680,6.23
jul,7/1/2014,194.2,201.9,21.1112,6.59
ago,8/1/2014,199.2,202.1,21.2015,6.34
sep,9/1/2014,197.7,202.4,21.3154,6.13
oct,10/1/2014,205.5,202.9,21.4386,6.31
nov,11/1/2014,203.3,203.6,21.5056,6.41
dic,12/1/2014,221.8,204.4,21.6263,5.82
ene,1/1/2015,200.9,205.4,21.7573,3.83
feb,2/1/2015,201.9,206.4,21.9279,3.66
mar,3/1/2015,213.9,207.3,21.9887,3.74
abr,4/1/2015,206.3,208.1,22.0939,3.58
may,5/1/2015,206.7,208.8,22.0914,3.49
jun,6/1/2015,206.3,209.5,22.0782,3.62
jul,7/1/2015,202.4,210.2,22.0726,3.20
ago,8/1/2015,208.3,210.9,22.1346,3.09
sep,9/1/2015,205.4,211.5,22.1016,2.76
oct,10/1/2015,214.1,212.2,22.1928,2.54
nov,11/1/2015,214.9,212.6,22.3001,2.10
dic,12/1/2015,231.5,212.8,22.4465,2.36
ene,1/1/2016,207.8,213.0,22.6120,3.08
feb,2/1/2016,210.0,213.2,22.7456,2.92
mar,3/1/2016,220.1,213.5,22.7845,2.48
abr,4/1/2016,211.6,214.0,22.7484,2.44
may,5/1/2016,214.5,214.6,22.7662,2.36
jun,6/1/2016,216.5,215.3,22.9009,2.45
jul,7/1/2016,205.9,216.3,22.9993,2.40
ago,8/1/2016,216.3,217.3,23.0492,2.51
sep,9/1/2016,213.2,218.6,23.1264,2.90
oct,10/1/2016,220.9,219.9,23.2431,2.82
nov,11/1/2016,227.5,221.3,23.3427,3.04
dic,12/1/2016,245.3,222.5,23.6202,3.31
ene,1/1/2017,219.8,223.5,23.7525,3.44
feb,2/1/2017,221.2,224.3,23.7323,3.84
mar,3/1/2017,233.8,225.1,23.6964,3.94
abr,4/1/2017,218.5,226.0,23.6266,4.10
may,5/1/2017,226.1,227.0,23.6345,4.05
jun,6/1/2017,227.3,228.2,23.6078,3.65
jul,7/1/2017,217.4,229.3,23.5990,3.64
ago,8/1/2017,230.2,230.3,23.5360,3.84
