month,count
Jan-14,688
Feb-14,1460
Mar-14,2734
Apr-14,3171
May-14,2604
Jun-14,2769
Jul-14,2922
Aug-14,2092
Sep-14,1627
Oct-14,1586
Nov-14,1070
Dec-14,1350
Jan-15,1932
Feb-15,1954
Mar-15,2124
Apr-15,2568
May-15,3078
Jun-15,3018
Jul-15,2146
Aug-15,3498
Sep-15,2846
Oct-15,3010
Nov-15,2780
Dec-15,2870
Jan-16,1096
Feb-16,869
Mar-16,921
Apr-16,1137
May-16,1703
Jun-16,1682
Jul-16,1420
Aug-16,1838
Sep-16,1777
Oct-16,1629
Nov-16,1607
Dec-16,1804
Jan-17,1142
Feb-17,1188
Mar-17,1263
Apr-17,984
May-17,815
Jun-17,918
Jul-17,818
Aug-17,1026
Sep-17,1111
