"month","count"
"Apr-14",3171
"Apr-15",2568
"Apr-16",1137
"Apr-17",984
"Apr-18",2111
"Aug-14",2092
"Aug-15",3498
"Aug-16",1838
"Aug-17",1026
"Dec-14",1350
"Dec-15",2870
"Dec-16",1804
"Dec-17",1289
"Feb-14",1460
"Feb-15",1954
"Feb-16",869
"Feb-17",1188
"Feb-18",1254
"Jan-14",688
"Jan-15",1932
"Jan-16",1096
"Jan-17",1142
"Jan-18",1010
"Jul-14",2922
"Jul-15",2146
"Jul-16",1420
"Jul-17",818
"Jun-14",2769
"Jun-15",3018
"Jun-16",1682
"Jun-17",918
"Jun-18",2235
"Mar-14",2734
"Mar-15",2124
"Mar-16",921
"Mar-17",1263
"Mar-18",1608
"May-14",2604
"May-15",3078
"May-16",1703
"May-17",815
"May-18",2129
"Nov-14",1070
"Nov-15",2780
"Nov-16",1607
"Nov-17",1290
"Oct-14",1586
"Oct-15",3010
"Oct-16",1629
"Oct-17",1089
"Sep-14",1627
"Sep-15",2846
"Sep-16",1777
"Sep-17",1234
